date,high,low,open,close,volume
2020-04-01T00:00:00+0000,380.233,361.02,376.05,364.08,6672454.0
2020-04-02T00:00:00+0000,370.99,360.06,364.08,370.08,4592477.0
2020-04-03T00:00:00+0000,370.9,357.51,367.3604,361.76,4860768.0
2020-04-06T00:00:00+0000,380.29,361.71,365.22,379.96,8183921.0
2020-04-07T00:00:00+0000,381.33,369.34,380.0,372.28,7046438.0
2020-04-08T00:00:00+0000,378.39,368.31,374.01,371.12,6908879.0
2020-04-09T00:00:00+0000,372.1,363.03,371.06,370.72,7711296.0
2020-04-13T00:00:00+0000,400.51,367.7003,371.31,396.72,11692922.0
2020-04-14T00:00:00+0000,417.82,394.8468,397.5,413.55,11580983.0
2020-04-15T00:00:00+0000,434.98,412.25,413.0,426.75,13561222.0
2020-04-16T00:00:00+0000,449.52,431.61,437.0,439.17,16128666.0
2020-04-17T00:00:00+0000,432.0,414.695,431.0,422.96,12616258.0
2020-04-20T00:00:00+0000,444.49,430.56,435.17,437.49,12655818.0
2020-04-21T00:00:00+0000,447.0,425.6,444.77,433.83,23177550.0
2020-04-22T00:00:00+0000,433.0,413.0,429.725,421.42,21123773.0
2020-04-23T00:00:00+0000,438.413,419.26,419.26,426.7,13952330.0
2020-04-24T00:00:00+0000,427.17,415.88,425.0,424.99,8670362.0
2020-04-27T00:00:00+0000,429.0,420.84,425.0,421.38,6277480.0
2020-04-28T00:00:00+0000,421.0,402.9101,419.99,403.83,10101233.0
2020-04-29T00:00:00+0000,415.86,393.6,399.53,411.89,9693137.0
2020-04-30T00:00:00+0000,424.44,408.0,410.31,419.85,7953975.0
2020-05-01T00:00:00+0000,427.97,411.73,415.1,415.27,8299858.0
2020-05-04T00:00:00+0000,428.54,414.87,417.78,428.15,7799058.0
2020-05-05T00:00:00+0000,431.0,421.56,427.555,424.68,6286293.0
2020-05-06T00:00:00+0000,439.77,426.385,429.3,434.26,6660737.0
2020-05-07T00:00:00+0000,438.88,430.66,436.89,436.53,5650281.0
2020-05-08T00:00:00+0000,442.0,433.6389,434.14,435.55,5054308.0
2020-05-11T00:00:00+0000,444.8899,435.56,436.33,440.52,5486037.0
2020-05-12T00:00:00+0000,444.17,431.36,442.0,431.82,4598211.0
2020-05-13T00:00:00+0000,447.0,427.27,435.69,438.27,7014563.0
2020-05-14T00:00:00+0000,452.38,432.82,444.9,441.95,9007467.0
2020-05-15T00:00:00+0000,455.0,437.51,440.7,454.19,7243998.0
2020-05-18T00:00:00+0000,456.36,443.35,451.16,452.58,7780309.0
2020-05-19T00:00:00+0000,458.97,450.465,453.3965,451.04,4810487.0
2020-05-20T00:00:00+0000,455.81,444.0,454.25,447.67,5607257.0
2020-05-21T00:00:00+0000,448.96,430.25,448.56,436.25,9076150.0
2020-05-22T00:00:00+0000,439.09,427.18,437.0,429.32,5422334.0
2020-05-26T00:00:00+0000,428.5,413.14,427.77,414.77,7881115.0
2020-05-27T00:00:00+0000,420.02,397.86,410.38,419.89,10446339.0
2020-05-28T00:00:00+0000,422.3717,411.5,417.24,413.44,5660160.0
2020-05-29T00:00:00+0000,420.295,411.85,417.46,419.73,5270484.0
2020-06-01T00:00:00+0000,426.72,415.98,418.83,425.92,3748573.0
2020-06-02T00:00:00+0000,427.59,419.46,425.87,427.31,3494801.0
2020-06-03T00:00:00+0000,427.1,418.05,426.95,421.97,4291113.0
2020-06-04T00:00:00+0000,428.71,410.03,422.39,414.33,5372443.0
2020-06-05T00:00:00+0000,420.2392,404.25,407.29,419.6,5009605.0
2020-06-08T00:00:00+0000,420.8,406.5,416.0,419.49,5851453.0
2020-06-09T00:00:00+0000,434.73,420.31,421.65,434.05,6598816.0
2020-06-10T00:00:00+0000,439.69,430.55,436.0,434.48,4896893.0
2020-06-11T00:00:00+0000,445.57,424.1601,428.2,425.56,7462868.0
2020-06-12T00:00:00+0000,434.06,412.45,429.0,418.07,6461127.0
2020-06-15T00:00:00+0000,426.49,415.4238,421.4,425.5,4444525.0
2020-06-16T00:00:00+0000,437.96,425.18,425.76,436.13,5514016.0
2020-06-17T00:00:00+0000,450.46,439.22,441.82,447.77,6529568.0
2020-06-18T00:00:00+0000,452.76,442.8,448.73,449.87,4277627.0
2020-06-19T00:00:00+0000,453.97,445.6,449.12,453.72,5933651.0
2020-06-22T00:00:00+0000,468.59,454.21,455.01,468.04,6254536.0
2020-06-23T00:00:00+0000,474.01,464.5,466.5,466.26,5686071.0
2020-06-24T00:00:00+0000,472.36,454.0,468.54,457.85,4804903.0
2020-06-25T00:00:00+0000,467.01,454.0,458.86,465.91,3938090.0
2020-06-26T00:00:00+0000,468.03,442.24,466.39,443.4,6747401.0
2020-06-29T00:00:00+0000,447.67,432.14,445.23,447.24,4828402.0
2020-06-30T00:00:00+0000,457.59,447.0,450.02,455.04,4167187.0
2020-07-01T00:00:00+0000,488.23,454.0,454.0,485.64,9656467.0
2020-07-02T00:00:00+0000,492.28,475.5258,485.64,476.89,6324460.0
2020-07-06T00:00:00+0000,499.5,479.8,480.77,493.81,7741700.0
2020-07-07T00:00:00+0000,504.82,490.83,497.31,493.16,5612600.0
2020-07-08T00:00:00+0000,505.1,493.81,498.58,502.78,5600000.0
2020-07-09T00:00:00+0000,510.0,495.78,508.4,507.76,5760900.0
2020-07-10T00:00:00+0000,555.88,511.28,519.73,548.73,21439200.0
2020-07-13T00:00:00+0000,575.37,520.96,567.98,525.5,18221300.0
2020-07-14T00:00:00+0000,525.5,490.49,517.08,524.88,14965300.0
2020-07-15T00:00:00+0000,529.0,510.18,516.3,523.26,9946900.0
2020-07-16T00:00:00+0000,535.54,504.36,526.48,527.39,19498600.0
2020-07-17T00:00:00+0000,503.59,484.14,494.87,492.99,24832000.0
2020-07-20T00:00:00+0000,504.5,484.2,489.14,502.41,11859600.0
2020-07-21T00:00:00+0000,506.22,488.61,506.0,490.1,9073000.0
2020-07-22T00:00:00+0000,497.2,487.2,492.19,489.82,6834800.0
2020-07-23T00:00:00+0000,491.9,472.02,491.13,477.58,7722034.0
2020-07-24T00:00:00+0000,487.17,467.54,468.77,480.45,7746247.0
2020-07-27T00:00:00+0000,496.92,482.31,484.51,495.65,7863069.0
2020-07-28T00:00:00+0000,497.7927,487.7601,496.02,488.51,5986727.0
2020-07-29T00:00:00+0000,494.92,484.13,492.25,484.48,6611769.0
2020-07-30T00:00:00+0000,488.35,477.5101,480.7072,485.8,6608569.0
2020-07-31T00:00:00+0000,494.8,484.5,488.29,488.88,5924310.0
2020-08-03T00:00:00+0000,503.09,490.23,490.86,498.62,5876190.0
2020-08-04T00:00:00+0000,510.4436,498.65,498.65,509.64,5607968.0
2020-08-05T00:00:00+0000,510.1021,501.2,508.68,502.11,4313526.0
2020-08-06T00:00:00+0000,510.82,498.7,504.11,509.08,3725861.0
2020-08-07T00:00:00+0000,508.29,486.68,505.45,494.73,5910348.0
