date,high,low,open,close,volume
2020-04-01T00:00:00+0000,157.75,150.82,153.0,152.11,57969926.0
2020-04-02T00:00:00+0000,155.48,150.36,151.86,155.26,49630735.0
2020-04-03T00:00:00+0000,157.38,152.19,155.1,153.83,41243284.0
2020-04-06T00:00:00+0000,166.5,157.58,160.32,165.27,67111697.0
2020-04-07T00:00:00+0000,170.0,163.26,169.5923,163.49,62769038.0
2020-04-08T00:00:00+0000,166.67,163.5,165.67,165.13,48318234.0
2020-04-09T00:00:00+0000,167.37,163.33,166.36,165.14,51431775.0
2020-04-13T00:00:00+0000,165.57,162.3,164.35,165.51,41905264.0
2020-04-14T00:00:00+0000,173.75,168.0,169.0,173.7,52874338.0
2020-04-15T00:00:00+0000,173.57,169.24,171.2,171.88,40940833.0
2020-04-16T00:00:00+0000,177.28,172.9,174.3,177.04,50479610.0
2020-04-17T00:00:00+0000,180.0,175.87,179.5,178.6,52765625.0
2020-04-20T00:00:00+0000,178.75,174.99,176.63,175.06,36669595.0
2020-04-21T00:00:00+0000,173.6699,166.1102,173.5,167.82,56203749.0
2020-04-22T00:00:00+0000,174.0,170.82,171.39,173.52,34651604.0
2020-04-23T00:00:00+0000,175.06,170.91,174.11,171.42,32790804.0
2020-04-24T00:00:00+0000,174.56,170.71,172.06,174.55,34305320.0
2020-04-27T00:00:00+0000,176.9,173.3,176.59,174.05,33194384.0
2020-04-28T00:00:00+0000,175.67,169.39,175.4556,169.81,34392694.0
2020-04-29T00:00:00+0000,177.68,171.88,173.22,177.43,51286559.0
2020-04-30T00:00:00+0000,180.4,176.23,180.0,179.21,53875857.0
2020-05-01T00:00:00+0000,178.64,174.01,175.8,174.57,39370474.0
2020-05-04T00:00:00+0000,179.0,173.8,174.49,178.84,30372862.0
2020-05-05T00:00:00+0000,183.65,179.9,180.62,180.76,36839168.0
2020-05-06T00:00:00+0000,184.2,181.6306,182.08,182.54,32139299.0
2020-05-07T00:00:00+0000,184.55,182.58,184.17,183.6,28315992.0
2020-05-08T00:00:00+0000,185.0,183.36,184.9797,184.68,30912638.0
2020-05-11T00:00:00+0000,187.51,182.85,183.15,186.74,30892660.0
2020-05-12T00:00:00+0000,187.04,182.3,186.9,182.51,32038199.0
2020-05-13T00:00:00+0000,184.05,176.54,182.55,179.75,44711488.0
2020-05-14T00:00:00+0000,180.69,175.68,177.54,180.53,41873911.0
2020-05-15T00:00:00+0000,187.06,177.0,179.06,183.16,46610382.0
2020-05-18T00:00:00+0000,186.2,183.96,185.75,184.91,35306620.0
